submission time,team,problem,language,points,time,memory
2024-01-28 18:48:30.874000+00:00,Acidic Drums Keep Victorious Zebras,megu,Python,0,100,3.6
2024-01-28 19:09:33.397000+00:00,Acidic Drums Keep Victorious Zebras,cocoa,C++,0,2,1.804
2024-01-28 20:29:35.836000+00:00,Sammy,chino,Java,60,2033.9999999999998,16.456
2024-01-28 17:53:51.907000+00:00,Acidic Drums Keep Victorious Zebras,maya,C++,40,48,3.284
2024-01-28 20:39:04.074000+00:00,Sammy,chino,Java,60,2033,16.328
2024-01-28 19:01:32.076000+00:00,Acidic Drums Keep Victorious Zebras,maya,C++,100,59,3.212
2024-01-28 17:59:15.603000+00:00,Acidic Drums Keep Victorious Zebras,maya,C++,0,49,3.228
2024-01-28 17:53:23.579000+00:00,Sammy,maya,Java,10,473,80.988
2024-01-28 20:03:20.062000+00:00,admin,megu,C++,100,18,1.812
2024-01-28 20:55:20.689000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,60,2,1.812
2024-01-28 18:02:51.562000+00:00,Sammy,maya,Java,10,527,85.264
2024-01-28 19:51:42.678000+00:00,admin,megu,C++,10,15,1.844
2024-01-28 18:00:53.822000+00:00,Sammy,maya,Java,0,0,0
2024-01-28 20:41:50.975000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,40,2,1.824
2024-01-28 19:08:28.065000+00:00,Acidic Drums Keep Victorious Zebras,chiya,C++,10,2,1.768
2024-01-28 19:40:52.318000+00:00,Sammy,cocoa,Python,30,2100,3.832
2024-01-28 18:21:33.989000+00:00,admin,maya,C++,90,34,1.952
2024-01-28 18:40:18.291000+00:00,admin,maya,C++,90,35,2.056
2024-01-28 18:26:42.592000+00:00,Sammy,maya,Java,50,2069,71.56
2024-01-28 18:52:07.238000+00:00,jam,maya,Java,100,908,90.768
2024-01-28 18:07:04.853000+00:00,Sammy,maya,Java,30,2077,77.368
2024-01-28 18:39:56.591000+00:00,admin,maya,C++,90,36,2.12
2024-01-28 18:48:07.028000+00:00,Acidic Drums Keep Victorious Zebras,megu,Python,0,100,3.632
2024-01-28 18:59:16.322000+00:00,Sammy,cocoa,Python,0,10,3.276
2024-01-28 20:41:27.907000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,40,2099,1.84
2024-01-28 19:27:42.253000+00:00,Sammy,cocoa,Python,0,2100,3.8
2024-01-28 17:37:53.920000+00:00,admin,cocoa,C++,100,153,1.844
2024-01-28 20:27:36.766000+00:00,Sammy,chino,Java,40,91,16.436
2024-01-28 17:49:17.096000+00:00,Sammy,syaro,Java,100,88,24.64
2024-01-28 19:33:20.362000+00:00,Sammy,megu,Java,40,207,27.124
2024-01-28 19:34:02.033000+00:00,Sammy,cocoa,Python,0,10,3.284
